"","State","Corp_Rate","year","Corp_Rate_Adj","Pers_Rate","Pers_Rate_Adj","Sales_Rate","Sales_Rate_Adj"
"426","Kentucky",6,2018,6,5,5,6,6.09499979019165
"427","Louisiana",8,2018,8,6,6,5,5
"428","Maine",8.93,2018,8.93000030517578,7.15,7.15,5.5,5.5
"429","Maryland",8.25,2018,8.25,5.75,5.75,6,6
"430","Massachusetts",8,2018,8,5.1,5.1,6.25,6.25
"431","Michigan",6,2018,6,4.25,4.25,6,6
"432","Minnesota",9.8,2018,9.80000019073486,9.85,9.85,6.875,6.875
"433","Mississippi",5,2018,5,5,5,7,7
"434","Missouri",6.25,2018,6.25,5.9,5.9,4.225,4.22499990463257
"435","Montana",6.75,2018,7,6.9,6.9,0,0
"436","Nebraska",7.81,2018,7.80999994277954,6.84,6.84,5.5,5.5
"437","Nevada",0,2018,0,0,0,6.85,7.18100023269653
"438","New Hampshire",8.2,2018,8.19999980926514,0,0,0,0.720000028610229
"439","New Jersey",9,2018,11.5,8.97,8.97,6.625,6.625
"440","New Mexico",5.9,2018,5.90000009536743,4.9,4.9,5.125,5.125
"441","New York",6.5,2018,6.5,8.82,8.82,4,4
"442","North Carolina",3,2018,3,5.5,5.499,4.75,4.75
"443","North Dakota",4.31,2018,7.80999994277954,2.9,2.9,5,5
"444","Ohio",0,2018,0,5,4.997,5.75,6.01000022888184
"445","Oklahoma",6,2018,6,5,5,4.5,4.5
"446","Oregon",7.6,2018,7.59999990463257,9.9,9.9,0,0
"447","Pennsylvania",9.99,2018,9.98999977111816,3.07,3.07,6,6
"448","Rhode Island",7,2018,7,5.99,5.99,7,7
"449","South Carolina",5,2018,5,7,7,6,6
"450","South Dakota",0,2018,0,0,0,4.5,4.5
"451","Tennessee",6.5,2018,6.5,0,0,7,7.03000020980835
"452","Texas",0,2018,0,0,0,6.25,7
"453","Utah",5,2018,5,4.95,5,5.95,5.94999980926514
"454","Vermont",8.5,2018,8.5,8.75,8.95,6,6
"455","Virginia",6,2018,6,5.75,5.75,5.3,5.30000019073486
"456","Washington",0,2018,0,0,0,6.5,8
"457","West Virginia",6.5,2018,6.5,6.5,6.5,6,6
"458","Wisconsin",7.9,2018,7.90000009536743,7.65,7.65,5,5
"459","Wyoming",0,2018,0,0,0,4,4
"460","Alabama",6.5,2019,6.5,5,5,4,4
"461","Alaska",9.4,2019,9.39999961853027,0,0,0,0
"462","Arizona",4.9,2019,4.90000009536743,4.5,4.5,5.6,5.59999990463257
"463","Arkansas",6.5,2019,6.5,6.9,6.9,6.5,6.5
"464","California",8.84,2019,8.84000015258789,13.3,13.3,7.25,7.25
"465","Colorado",4.63,2019,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"466","Connecticut",7.5,2019,8.25,6.99,6.99,6.35,6.34999990463257
"467","Delaware",8.7,2019,8.69999980926514,6.6,6.6,0,1.99140000343323
"468","District of Columbia",8.25,2019,8.25,8.95,8.95,6,6
"469","Florida",5.5,2019,5.5,0,0,6,6
"470","Georgia",5.75,2019,5.75,5.75,5.75,4,4
"471","Hawaii",6.4,2019,6.40000009536743,11,11,4,4
"472","Idaho",6.925,2019,6.92500019073486,6.925,6.925,6,6
"473","Illinois",9.5,2019,9.5,4.95,4.95,6.25,6.25
"474","Indiana",5.75,2019,5.75,3.23,3.23,7,7
"475","Iowa",12,2019,12,8.53,8.53,6,6
"476","Kansas",4,2019,7,5.7,5.7,6.5,6.5
"477","Kentucky",5,2019,5,5,5,6,6.09499979019165
"478","Louisiana",8,2019,8,6,6,4.45,4.44999980926514
"479","Maine",8.93,2019,8.93000030517578,7.15,7.15,5.5,5.5
"480","Maryland",8.25,2019,8.25,5.75,5.75,6,6
"481","Massachusetts",8,2019,8,5.05,5.05,6.25,6.25
"482","Michigan",6,2019,6,4.25,4.25,6,6
"483","Minnesota",9.8,2019,9.80000019073486,9.85,9.85,6.88,6.88000011444092
"484","Mississippi",5,2019,5,5,5,7,7
"485","Missouri",6.25,2019,6.25,5.4,5.4,4.23,4.23000001907349
"486","Montana",6.75,2019,7,6.9,6.9,0,0
"487","Nebraska",7.81,2019,7.80999994277954,6.84,6.84,5.5,5.5
"488","Nevada",0,2019,0,0,0,6.85,7.18100023269653
"489","New Hampshire",7.7,2019,7.69999980926514,0,0,0,0.675000011920929
"490","New Jersey",9,2019,11.5,10.75,10.75,6.63,6.63000011444092
"491","New Mexico",5.9,2019,5.90000009536743,4.9,4.9,5.13,5.13000011444092
"492","New York",6.5,2019,6.5,8.82,8.82,4,4
"493","North Carolina",2.5,2019,2.5,5.25,5.25,4.75,4.75
"494","North Dakota",4.31,2019,7.80999994277954,2.9,2.9,5,5
"495","Ohio",0,2019,0,4.797,4.797,5.75,6.01000022888184
"496","Oklahoma",6,2019,6,5,5,4.5,4.5
"497","Oregon",7.6,2019,7.59999990463257,9.9,9.9,0,0
"498","Pennsylvania",9.99,2019,9.98999977111816,3.07,3.07,6,6
"499","Rhode Island",7,2019,7,5.99,5.99,7,7
"500","South Carolina",5,2019,5,7,7,6,6
"501","South Dakota",0,2019,0,0,0,4.5,4.5
"502","Tennessee",6.5,2019,6.5,0,0,7,7.03000020980835
"503","Texas",0,2019,0,0,0,6.25,7
"504","Utah",4.95,2019,4.94999980926514,4.95,4.95,5.95,5.94999980926514
"505","Vermont",8.5,2019,8.5,8.75,8.75,6,6
"506","Virginia",6,2019,6,5.75,5.75,5.3,5.30000019073486
"507","Washington",0,2019,0,0,0,6.5,9
"508","West Virginia",6.5,2019,6.5,6.5,6.5,NA,NA
"509","Wisconsin",7.9,2019,7.90000009536743,7.65,7.65,5,5
"510","Wyoming",0,2019,0,0,0,4,4
"511","Alabama",6.5,2020,6.5,5,5,4,4
"512","Alaska",9.4,2020,9.39999961853027,0,0,0,0
"513","Arizona",4.9,2020,4.90000009536743,4.5,4.5,5.6,5.59999990463257
"514","Arkansas",6.5,2020,6.5,6.6,6.6,6.5,6.5
"515","California",8.84,2020,8.84000015258789,13.3,13.3,7.25,7.25
"516","Colorado",4.63,2020,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"517","Connecticut",7.5,2020,8.25,6.99,6.99,6.35,6.34999990463257
"518","Delaware",8.7,2020,8.69999980926514,6.6,6.6,0,0.746800005435944
"519","District of Columbia",8.25,2020,8.25,8.95,8.95,6,6
"520","Florida",4.458,2020,4.45800018310547,0,0,6,6
"521","Georgia",5.75,2020,5.75,5.75,5.75,4,4
"522","Hawaii",6.4,2020,6.40000009536743,11,11,4,4
"523","Idaho",6.925,2020,6.92500019073486,6.925,6.925,6,6
"524","Illinois",9.5,2020,9.5,4.95,4.95,6.25,6.25
"525","Indiana",5.75,2020,5.75,3.23,3.23,7,7
"526","Iowa",12,2020,12,8.53,8.53,6,6
"527","Kansas",4,2020,7,5.7,5.7,6.5,6.5
"528","Kentucky",5,2020,5,5,5,6,6.09499979019165
"529","Louisiana",8,2020,8,6,6,4.45,4.44999980926514
"530","Maine",8.93,2020,8.93000030517578,7.15,7.15,5.5,5.5
"531","Maryland",8.25,2020,8.25,5.75,5.75,6,6
"532","Massachusetts",8,2020,8,5,5,6.25,6.25
"533","Michigan",6,2020,6,4.25,4.25,6,6
"534","Minnesota",9.8,2020,9.80000019073486,9.85,9.85,6.875,6.875
"535","Mississippi",5,2020,5,5,5,7,7
"536","Missouri",4,2020,4,5.4,5.4,4.225,4.22499990463257
"537","Montana",6.75,2020,7,6.9,6.9,0,0
"538","Nebraska",7.81,2020,7.80999994277954,6.84,6.84,5.5,5.5
"539","Nevada",0,2020,0,0,0,6.85,7.18100023269653
"540","New Hampshire",7.7,2020,7.69999980926514,0,0,0,0.600000023841858
"541","New Jersey",9,2020,10.5,10.75,10.75,6.625,6.625
"542","New Mexico",5.9,2020,5.90000009536743,4.9,4.9,5.125,5.125
"543","New York",6.5,2020,6.5,8.82,8.82,4,4
"544","North Carolina",2.5,2020,2.5,5.25,5.25,4.75,4.75
"545","North Dakota",4.31,2020,7.80999994277954,2.9,2.9,5,5
"546","Ohio",0,2020,0,4.797,4.797,5.75,6.01000022888184
"547","Oklahoma",6,2020,6,5,5,4.5,4.5
"548","Oregon",7.6,2020,7.59999990463257,9.9,9.9,0,0.569999992847443
"549","Pennsylvania",9.99,2020,9.98999977111816,3.07,3.07,6,6
"550","Rhode Island",7,2020,7,5.99,5.99,7,7
"551","South Carolina",5,2020,5,7,7,6,6
"552","South Dakota",0,2020,0,0,0,4.5,4.5
"553","Tennessee",6.5,2020,6.5,0,0,7,7.03000020980835
"554","Texas",0,2020,0,0,0,6.25,7
"555","Utah",4.95,2020,4.94999980926514,4.95,4.95,6.1,6.09999990463257
"556","Vermont",8.5,2020,8.5,8.75,8.75,6,6
"557","Virginia",6,2020,6,5.75,5.75,NA,NA
"558","Washington",0,2020,0,0,0,6.5,9.22000026702881
"559","West Virginia",6.5,2020,6.5,6.5,6.5,6,6
"560","Wisconsin",7.9,2020,7.90000009536743,7.65,7.65,5,5
"561","Wyoming",0,2020,0,0,0,4,4
